,District,Total Case,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020,01 September 2020,02 September 2020,03 September 2020,04 September 2020,05 September 2020,06 September 2020,07 September 2020,08 September 2020,09 September 2020,10 September 2020,11 September 2020,12 September 2020,13 September 2020,14 September 2020,15 September 2020,16 September 2020,17 September 2020,18 September 2020,19 September 2020,20 September 2020,21 September 2020,22 September 2020,23 September 2020,24 September 2020,25 September 2020,26 September 2020,27 September 2020,28 September 2020,29 September 2020,30 September 2020,01 October 2020,02 October 2020,03 October 2020,04 October 2020,05 October 2020,06 October 2020,07 October 2020,08 October 2020,09 October 2020,10 October 2020,11 October 2020,12 October 2020,13 October 2020,14 October 2020,15 October 2020,16 October 2020,17 October 2020,18 October 2020,19 October 2020,20 October 2020,21 October 2020,22 October 2020,23 October 2020,24 October 2020,25 October 2020,26 October 2020,27 October 2020,28 October 2020,29 October 2020,30 October 2020,31 October 2020,01 November 2020,02 November 2020,03 November 2020,04 November 2020,05 November 2020,06 November 2020,07 November 2020,08 November 2020,09 November 2020,10 November 2020,11 November 2020,12 November 2020,13 November 2020,14 November 2020,15 November 2020,16 November 2020,17 November 2020,18 November 2020,19 November 2020,20 November 2020,21 November 2020,22 November 2020,23 November 2020,24 November 2020,25 November 2020,26 November 2020,27 November 2020,28 November 2020,29 November 2020,30 November 2020,01 December 2020,02 December 2020,03 December 2020,04 December 2020,05 December 2020,06 December 2020,07 December 2020,08 December 2020,09 December,10 December 2020,11 December 2020,12 December 2020,13 December 2020,14 December 2020,15 December 2020,July,August,September,October,November,December
28,Kurigram,987.0,230.0,7.0,6.0,11.0,8.0,8.0,9.0,2.0,6.0,15.0,2.0,15.0,9.0,8.0,7.0,15.0,20.0,12.0,13.0,17.0,18.0,7.0,10.0,16.0,13.0,4.0,10.0,15.0,17.0,11.0,13.0,11.0,14.0,7.0,8.0,10.0,10.0,8.0,7.0,16.0,13.0,44.0,6.0,5.0,6.0,11.0,2.0,11.0,4.0,8.0,10.0,4.0,5.0,8.0,5.0,5.0,18.0,1.0,0.0,5.0,8.0,4.0,2.0,3.0,8.0,1.0,2.0,8.0,2.0,1.0,6.0,3.0,3.0,5.0,8.0,4.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,4.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,484.0,308.0,112.0,35.0,21.0,987.0
29,Kushtia,3707.0,856.0,26.0,35.0,38.0,38.0,12.0,36.0,45.0,32.0,19.0,33.0,38.0,0.0,52.0,43.0,34.0,23.0,34.0,26.0,27.0,34.0,8.0,58.0,48.0,17.0,40.0,9.0,74.0,7.0,7.0,92.0,56.0,73.0,11.0,69.0,71.0,61.0,11.0,13.0,45.0,16.0,72.0,38.0,60.0,37.0,1.0,0.0,0.0,13.0,89.0,0.0,27.0,64.0,50.0,4.0,26.0,10.0,42.0,31.0,20.0,28.0,5.0,33.0,25.0,28.0,18.0,24.0,16.0,13.0,20.0,21.0,17.0,23.0,12.0,15.0,7.0,21.0,20.0,13.0,9.0,8.0,11.0,5.0,13.0,9.0,6.0,2.0,5.0,3.0,5.0,4.0,9.0,12.0,10.0,13.0,4.0,4.0,6.0,7.0,7.0,5.0,5.0,11.0,1.0,6.0,7.0,5.0,8.0,3.0,2.0,7.0,3.0,6.0,4.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,4.0,7.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,6.0,4.0,8.0,8.0,6.0,1.0,17.0,9.0,1.0,11.0,3.0,7.0,8.0,5.0,8.0,3.0,7.0,10.0,7.0,9.0,13.0,21.0,5.0,5.0,5.0,5.0,4.0,7.0,12.0,1612.0,1136.0,523.0,170.0,145.0,3707.0
30,Laksmipur,2283.0,976.0,0.0,6.0,27.0,27.0,32.0,21.0,8.0,26.0,23.0,26.0,13.0,0.0,16.0,29.0,16.0,10.0,0.0,30.0,0.0,25.0,15.0,22.0,16.0,0.0,53.0,0.0,18.0,0.0,7.0,30.0,29.0,26.0,0.0,46.0,49.0,39.0,35.0,6.0,26.0,0.0,25.0,19.0,17.0,9.0,11.0,21.0,0.0,2.0,30.0,12.0,18.0,12.0,12.0,0.0,9.0,15.0,22.0,19.0,11.0,15.0,0.0,9.0,17.0,9.0,3.0,4.0,5.0,0.0,7.0,0.0,19.0,5.0,2.0,0.0,6.0,6.0,0.0,4.0,6.0,4.0,5.0,0.0,6.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,8.0,2.0,0.0,0.0,5.0,4.0,2.0,3.0,0.0,4.0,0.0,1.0,5.0,3.0,0.0,2.0,3.0,0.0,3.0,7.0,1364.0,561.0,204.0,59.0,58.0,2283.0
31,Lalmonirhat,942.0,176.0,6.0,3.0,6.0,3.0,12.0,4.0,2.0,3.0,10.0,9.0,6.0,12.0,12.0,5.0,16.0,10.0,10.0,13.0,10.0,17.0,11.0,13.0,5.0,2.0,7.0,4.0,19.0,13.0,9.0,8.0,9.0,13.0,19.0,12.0,8.0,4.0,7.0,7.0,12.0,9.0,10.0,32.0,12.0,9.0,9.0,9.0,10.0,11.0,11.0,8.0,14.0,6.0,8.0,7.0,11.0,10.0,13.0,8.0,9.0,14.0,8.0,4.0,5.0,8.0,4.0,5.0,4.0,6.0,3.0,3.0,8.0,3.0,6.0,9.0,6.0,2.0,1.0,6.0,2.0,0.0,2.0,2.0,0.0,5.0,7.0,4.0,1.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,376.0,327.0,163.0,32.0,28.0,942.0
32,Madaripur,1599.0,896.0,3.0,29.0,6.0,17.0,0.0,26.0,0.0,62.0,17.0,7.0,0.0,18.0,2.0,18.0,0.0,11.0,2.0,25.0,0.0,6.0,19.0,4.0,26.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,12.0,0.0,0.0,13.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,9.0,12.0,0.0,0.0,15.0,14.0,0.0,4.0,3.0,14.0,0.0,6.0,0.0,9.0,0.0,20.0,0.0,16.0,0.0,7.0,0.0,3.0,0.0,0.0,6.0,4.0,0.0,5.0,0.0,0.0,7.0,9.0,0.0,1.0,0.0,6.0,0.0,7.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,10.0,4.0,2.0,2.0,6.0,1.0,6.0,0.0,3.0,0.0,1194.0,163.0,105.0,33.0,62.0,1599.0
33,Magura,1032.0,213.0,7.0,9.0,4.0,7.0,1.0,20.0,22.0,21.0,10.0,21.0,11.0,8.0,17.0,9.0,12.0,9.0,12.0,11.0,8.0,10.0,0.0,24.0,0.0,20.0,13.0,0.0,8.0,0.0,0.0,31.0,21.0,16.0,11.0,14.0,20.0,24.0,0.0,9.0,0.0,29.0,12.0,0.0,26.0,6.0,13.0,0.0,0.0,17.0,4.0,19.0,0.0,0.0,11.0,17.0,9.0,0.0,0.0,5.0,7.0,5.0,6.0,7.0,3.0,7.0,6.0,5.0,3.0,2.0,5.0,1.0,0.0,1.0,5.0,1.0,2.0,0.0,3.0,5.0,0.0,6.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,6.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,7.0,1.0,5.0,0.0,3.0,1.0,2.0,2.0,4.0,5.0,0.0,1.0,2.0,0.0,1.0,6.0,1.0,0.0,2.0,2.0,3.0,4.0,1.0,6.0,0.0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,486.0,330.0,91.0,33.0,72.0,1032.0
34,Manikganj,1713.0,631.0,0.0,0.0,73.0,12.0,0.0,0.0,15.0,14.0,19.0,0.0,20.0,25.0,0.0,20.0,11.0,4.0,0.0,0.0,0.0,18.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,9.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,55.0,0.0,0.0,35.0,0.0,56.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0,0.0,68.0,16.0,0.0,7.0,9.0,8.0,0.0,34.0,5.0,17.0,7.0,8.0,19.0,0.0,18.0,3.0,6.0,2.0,22.0,21.0,0.0,39.0,3.0,11.0,10.0,4.0,5.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,13.0,0.0,3.0,1.0,3.0,9.0,5.0,0.0,0.0,0.0,7.0,4.0,1.0,3.0,4.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,4.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,4.0,0.0,1.0,3.0,7.0,12.0,2.0,10.0,0.0,4.0,7.0,10.0,7.0,3.0,8.0,0.0,9.0,2.0,3.0,868.0,350.0,282.0,74.0,55.0,1713.0
35,Meherpur,739.0,125.0,2.0,0.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,0.0,3.0,6.0,0.0,2.0,10.0,11.0,0.0,8.0,6.0,9.0,0.0,1.0,1.0,3.0,10.0,14.0,13.0,21.0,3.0,15.0,18.0,10.0,17.0,13.0,7.0,24.0,0.0,23.0,0.0,0.0,0.0,0.0,44.0,27.0,12.0,10.0,4.0,5.0,8.0,4.0,1.0,7.0,1.0,0.0,12.0,2.0,2.0,3.0,6.0,5.0,4.0,0.0,5.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,4.0,6.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,7.0,5.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,1.0,213.0,318.0,80.0,44.0,58.0,739.0
36,Moulvibazar,1854.0,575.0,0.0,33.0,0.0,49.0,0.0,23.0,21.0,44.0,38.0,34.0,0.0,22.0,30.0,1.0,28.0,0.0,0.0,20.0,0.0,1.0,16.0,28.0,23.0,0.0,0.0,0.0,5.0,9.0,10.0,36.0,11.0,12.0,30.0,13.0,8.0,35.0,51.0,8.0,6.0,0.0,22.0,0.0,27.0,20.0,24.0,24.0,21.0,16.0,12.0,34.0,31.0,17.0,1.0,8.0,31.0,0.0,3.0,25.0,4.0,11.0,11.0,9.0,6.0,8.0,9.0,14.0,16.0,0.0,0.0,0.0,16.0,15.0,2.0,6.0,0.0,5.0,0.0,8.0,4.0,2.0,0.0,0.0,10.0,0.0,7.0,3.0,1.0,4.0,3.0,8.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,8.0,5.0,1.0,12.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,5.0,2.0,0.0,3.0,4.0,2.0,1.0,6.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,7.0,4.0,3.0,0.0,0.0,2.0,0.0,986.0,522.0,191.0,84.0,44.0,1854.0
37,Munshigonj,4251.0,2275.0,8.0,50.0,15.0,30.0,5.0,47.0,27.0,20.0,20.0,21.0,29.0,5.0,15.0,12.0,11.0,3.0,25.0,17.0,3.0,25.0,28.0,8.0,30.0,0.0,0.0,0.0,18.0,14.0,8.0,20.0,13.0,13.0,17.0,0.0,29.0,19.0,8.0,16.0,33.0,33.0,0.0,6.0,23.0,21.0,0.0,16.0,24.0,3.0,23.0,29.0,0.0,29.0,21.0,25.0,1.0,26.0,2.0,7.0,27.0,16.0,8.0,5.0,10.0,21.0,20.0,2.0,23.0,5.0,0.0,12.0,12.0,10.0,15.0,5.0,13.0,0.0,9.0,12.0,0.0,0.0,16.0,7.0,0.0,2.0,10.0,9.0,0.0,13.0,11.0,0.0,6.0,5.0,6.0,1.0,10.0,0.0,8.0,0.0,11.0,22.0,7.0,4.0,4.0,0.0,10.0,8.0,8.0,1.0,8.0,20.0,1.0,0.0,15.0,11.0,15.0,0.0,21.0,0.0,11.0,4.0,24.0,5.0,0.0,18.0,0.0,10.0,10.0,14.0,0.0,17.0,2.0,0.0,8.0,3.0,40.0,8.0,11.0,26.0,0.0,11.0,1.0,0.0,37.0,19.0,0.0,2.0,41.0,14.0,8.0,20.0,14.0,13.0,7.0,13.0,34.0,15.0,27.0,8.0,10.0,10.0,15.0,2729.0,462.0,295.0,214.0,302.0,4251.0
38,Mymensingh,4278.0,2052.0,37.0,20.0,38.0,37.0,16.0,16.0,48.0,34.0,26.0,24.0,40.0,9.0,49.0,37.0,26.0,10.0,30.0,32.0,11.0,16.0,25.0,28.0,8.0,30.0,11.0,7.0,6.0,7.0,34.0,15.0,49.0,42.0,22.0,45.0,33.0,25.0,26.0,38.0,19.0,9.0,23.0,28.0,11.0,33.0,21.0,18.0,15.0,14.0,15.0,12.0,9.0,9.0,23.0,15.0,15.0,21.0,18.0,10.0,20.0,17.0,7.0,23.0,12.0,11.0,30.0,20.0,12.0,5.0,11.0,11.0,4.0,8.0,9.0,4.0,5.0,7.0,7.0,10.0,7.0,6.0,7.0,6.0,8.0,14.0,9.0,9.0,5.0,3.0,1.0,4.0,4.0,4.0,7.0,4.0,8.0,4.0,1.0,3.0,5.0,2.0,7.0,1.0,2.0,1.0,9.0,5.0,2.0,10.0,6.0,3.0,5.0,5.0,8.0,16.0,14.0,6.0,3.0,6.0,5.0,7.0,9.0,7.0,8.0,5.0,5.0,8.0,13.0,4.0,4.0,9.0,3.0,5.0,6.0,9.0,11.0,10.0,4.0,6.0,7.0,16.0,23.0,11.0,6.0,21.0,8.0,17.0,14.0,11.0,16.0,8.0,9.0,17.0,10.0,15.0,9.0,8.0,8.0,10.0,5.0,13.0,18.0,2699.0,649.0,339.0,164.0,256.0,4278.0
39,Naogaon,1499.0,584.0,2.0,1.0,39.0,48.0,0.0,2.0,3.0,17.0,41.0,3.0,39.0,0.0,8.0,60.0,2.0,3.0,7.0,68.0,2.0,0.0,1.0,1.0,13.0,0.0,1.0,27.0,0.0,0.0,1.0,1.0,0.0,30.0,9.0,0.0,3.0,0.0,24.0,0.0,2.0,24.0,3.0,1.0,31.0,0.0,0.0,22.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,20.0,0.0,9.0,4.0,0.0,25.0,0.0,0.0,0.0,18.0,0.0,16.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,0.0,0.0,9.0,9.0,7.0,2.0,0.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,7.0,7.0,0.0,3.0,10.0,0.0,0.0,0.0,11.0,0.0,32.0,0.0,0.0,0.0,5.0,4.0,5.0,6.0,2.0,0.0,0.0,944.0,212.0,160.0,38.0,80.0,1499.0
40,Narail,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,27.0,15.0,11.0,43.0,0.0,29.0,30.0,26.0,19.0,0.0,32.0,29.0,1.0,40.0,1.0,1.0,21.0,24.0,23.0,26.0,6.0,18.0,20.0,0.0,15.0,2.0,38.0,3.0,4.0,13.0,21.0,13.0,1.0,23.0,1.0,15.0,11.0,2.0,3.0,27.0,15.0,9.0,13.0,0.0,8.0,4.0,3.0,18.0,0.0,8.0,13.0,5.0,4.0,1.0,1.0,0.0,5.0,13.0,4.0,7.0,0.0,6.0,2.0,7.0,3.0,2.0,5.0,3.0,6.0,3.0,3.0,1.0,4.0,3.0,0.0,5.0,7.0,4.0,4.0,2.0,0.0,1.0,0.0,6.0,0.0,4.0,1.0,6.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,3.0,4.0,10.0,3.0,0.0,0.0,3.0,4.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,14.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,758.0,426.0,148.0,81.0,73.0,1511.0
41,Narayanganj,8290.0,5385.0,39.0,33.0,45.0,37.0,23.0,30.0,26.0,42.0,15.0,23.0,21.0,22.0,16.0,15.0,7.0,16.0,5.0,11.0,9.0,5.0,14.0,24.0,17.0,18.0,17.0,0.0,7.0,8.0,22.0,21.0,12.0,25.0,14.0,8.0,20.0,20.0,14.0,27.0,5.0,19.0,14.0,21.0,14.0,19.0,35.0,12.0,14.0,4.0,14.0,16.0,20.0,16.0,14.0,9.0,11.0,42.0,15.0,19.0,12.0,15.0,14.0,13.0,17.0,10.0,7.0,14.0,24.0,6.0,4.0,11.0,28.0,11.0,4.0,8.0,7.0,6.0,10.0,13.0,5.0,19.0,12.0,12.0,4.0,5.0,10.0,28.0,9.0,9.0,8.0,13.0,13.0,18.0,11.0,12.0,9.0,3.0,19.0,19.0,5.0,12.0,22.0,10.0,11.0,11.0,15.0,21.0,21.0,10.0,5.0,9.0,14.0,20.0,9.0,11.0,12.0,6.0,18.0,18.0,14.0,12.0,8.0,17.0,14.0,13.0,18.0,28.0,15.0,18.0,20.0,23.0,19.0,16.0,34.0,48.0,31.0,21.0,18.0,36.0,25.0,34.0,31.0,30.0,29.0,16.0,19.0,35.0,33.0,54.0,38.0,28.0,18.0,33.0,35.0,35.0,41.0,31.0,17.0,20.0,26.0,36.0,25.0,5898.0,472.0,377.0,395.0,678.0,8290.0
42,Narshingdi,2701.0,1495.0,11.0,20.0,4.0,18.0,3.0,7.0,9.0,17.0,11.0,11.0,7.0,7.0,11.0,23.0,7.0,21.0,4.0,9.0,5.0,4.0,12.0,8.0,11.0,7.0,5.0,3.0,0.0,4.0,2.0,3.0,0.0,13.0,7.0,24.0,9.0,13.0,6.0,24.0,0.0,20.0,12.0,13.0,10.0,14.0,9.0,16.0,3.0,14.0,10.0,15.0,10.0,10.0,12.0,7.0,24.0,12.0,21.0,13.0,6.0,31.0,5.0,18.0,9.0,39.0,3.0,2.0,13.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,6.0,14.0,7.0,0.0,9.0,7.0,4.0,5.0,6.0,5.0,2.0,5.0,10.0,4.0,7.0,4.0,6.0,3.0,6.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,6.0,7.0,1.0,11.0,2.0,6.0,7.0,5.0,8.0,4.0,2.0,9.0,4.0,3.0,4.0,6.0,2.0,5.0,10.0,5.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,13.0,3.0,4.0,2.0,11.0,5.0,9.0,8.0,6.0,4.0,4.0,4.0,6.0,11.0,3.0,1.0,8.0,2.0,11.0,1.0,7.0,5.0,9.0,0.0,1.0,3.0,3.0,1742.0,312.0,256.0,152.0,168.0,2701.0
43,Natore,1162.0,253.0,1.0,1.0,7.0,17.0,13.0,11.0,0.0,0.0,1.0,21.0,13.0,10.0,11.0,35.0,1.0,0.0,1.0,3.0,0.0,6.0,8.0,34.0,38.0,14.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,1.0,57.0,14.0,0.0,8.0,24.0,5.0,10.0,15.0,24.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,23.0,0.0,2.0,13.0,0.0,18.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,5.0,0.0,8.0,0.0,1.0,1.0,11.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,4.0,3.0,1.0,12.0,2.0,3.0,2.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,13.0,3.0,0.0,6.0,2.0,7.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,3.0,2.0,0.0,9.0,1.0,1.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,499.0,363.0,126.0,59.0,84.0,1162.0
44,Nawabganj,811.0,101.0,15.0,6.0,35.0,17.0,3.0,22.0,26.0,2.0,0.0,14.0,45.0,5.0,0.0,27.0,0.0,0.0,0.0,14.0,84.0,0.0,0.0,4.0,28.0,0.0,0.0,36.0,0.0,3.0,3.0,26.0,1.0,2.0,29.0,0.0,1.0,0.0,19.0,1.0,0.0,19.0,9.0,21.0,1.0,20.0,4.0,0.0,11.0,9.0,0.0,0.0,2.0,23.0,0.0,0.0,14.0,0.0,0.0,2.0,12.0,1.0,0.0,11.0,0.0,8.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,448.0,254.0,73.0,7.0,25.0,811.0
45,Netrokona,817.0,544.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,9.0,17.0,5.0,0.0,9.0,2.0,8.0,0.0,5.0,2.0,1.0,5.0,1.0,2.0,5.0,2.0,5.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,2.0,6.0,3.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,4.0,6.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,8.0,631.0,54.0,35.0,17.0,50.0,817.0
